epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,2787.72,0.09719,7.41196,0.21329,0.08408,0.86178,1,1,0.995,0.995,0.0358,0.03571,0.0188,0.00651,0.18204,8.28589,0.16191,0.20392,0.31819,7.63174e-05,7.63174e-05,7.63174e-05
127,2810.06,0.09706,7.3773,0.21795,0.08388,0.86896,1,1,0.995,0.995,0.03571,0.03571,0.01974,0.00681,0.19424,8.26378,0.16503,0.2343,0.32091,7.12282e-05,7.12282e-05,7.12282e-05
128,2832.43,0.09715,7.28076,0.21716,0.08409,0.86274,1,1,0.995,0.995,0.03571,0.03571,0.02185,0.00777,0.20726,8.26347,0.16566,0.24377,0.33329,6.63292e-05,6.63292e-05,6.63292e-05
129,2854.79,0.09706,7.3464,0.22128,0.08532,0.8705,1,1,0.995,0.995,0.03571,0.03571,0.02058,0.00609,0.2118,8.29044,0.16442,0.24719,0.33645,6.16227e-05,6.16227e-05,6.16227e-05
130,2877.11,0.09599,7.3758,0.21786,0.08376,0.86531,1,1,0.995,0.995,0.05357,0.05357,0.03215,0.00734,0.18786,8.32038,0.1649,0.2492,0.3226,5.71106e-05,5.71106e-05,5.71106e-05
131,2899.48,0.09549,7.28883,0.21671,0.08354,0.8698,1,1,0.995,0.995,0.036,0.03571,0.01867,0.00649,0.21489,8.32651,0.16562,0.25513,0.33707,5.2795e-05,5.2795e-05,5.2795e-05
132,2921.76,0.09175,7.34334,0.21692,0.08149,0.86541,1,1,0.995,0.995,0.03593,0.03571,0.01913,0.00578,0.20601,8.33124,0.1682,0.25754,0.33149,4.86777e-05,4.86777e-05,4.86777e-05
133,2944.35,0.09439,7.32383,0.22449,0.08209,0.86573,1,1,0.995,0.995,0.03608,0.03571,0.02028,0.00625,0.2046,8.32068,0.167,0.25573,0.3251,4.47606e-05,4.47606e-05,4.47606e-05
134,2966.73,0.09326,7.29647,0.2179,0.08326,0.87017,1,1,0.995,0.995,0.03607,0.03571,0.02072,0.00754,0.19227,8.33207,0.16611,0.23606,0.31945,4.10454e-05,4.10454e-05,4.10454e-05
135,2989.07,0.09368,7.21868,0.21822,0.08154,0.86745,1,1,0.995,0.995,0.03607,0.03571,0.01948,0.00602,0.18367,8.32643,0.16547,0.22561,0.3128,3.75337e-05,3.75337e-05,3.75337e-05
136,3011.32,0.09296,7.28425,0.21923,0.08142,0.87495,1,1,0.995,0.995,0.03593,0.03571,0.02197,0.00817,0.17555,8.31703,0.16566,0.24133,0.30759,3.4227e-05,3.4227e-05,3.4227e-05
137,3033.6,0.09383,7.27622,0.21516,0.08255,0.86848,1,1,0.995,0.995,0.03594,0.03571,0.0211,0.00777,0.17796,8.31867,0.166,0.23388,0.30742,3.11268e-05,3.11268e-05,3.11268e-05
