epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,668.094,0.18011,8.79635,0.26179,0.1534,0.91668,0.9987,1,0.995,0.97736,0,0,0,0,0.32626,9.37486,0.21982,0.4444,0.43299,0.000911469,0.000911469,0.000911469
31,689.704,0.1844,8.79726,0.26416,0.15108,0.91557,0.99896,1,0.995,0.995,0,0,0,0,0.34453,9.24643,0.20233,0.49354,0.443,0.000905463,0.000905463,0.000905463
32,711.374,0.17547,8.81812,0.26696,0.14535,0.91011,0.96681,1,0.995,0.95947,0,0,0,0,0.34041,9.30898,0.22021,0.48415,0.44246,0.000899282,0.000899282,0.000899282
33,732.912,0.17584,8.80684,0.26116,0.15005,0.90524,0.98232,1,0.995,0.99149,0,0,0,0,0.30066,9.11711,0.19389,0.42669,0.42246,0.000892928,0.000892928,0.000892928
34,754.525,0.1803,8.68789,0.2505,0.15029,0.92898,0.99904,1,0.995,0.98765,0,0,0,0,0.38364,9.22116,0.19536,0.39495,0.48976,0.000886404,0.000886404,0.000886404
35,776.128,0.17049,8.66721,0.25444,0.14717,0.91833,0.99847,1,0.995,0.99057,0,0,0,0,0.32777,9.09606,0.19921,0.34181,0.45553,0.000879713,0.000879713,0.000879713
36,797.709,0.17481,8.67723,0.26047,0.14471,0.90971,0.99868,1,0.995,0.99319,0,0,0,0,0.27175,9.18583,0.22538,0.30079,0.3837,0.000872857,0.000872857,0.000872857
37,819.288,0.17296,8.73382,0.26056,0.14769,0.91247,0.99882,1,0.995,0.995,0,0,0,0,0.27366,9.01793,0.20531,0.2768,0.411,0.000865839,0.000865839,0.000865839
38,840.907,0.1841,8.73729,0.25256,0.15392,0.91256,0.98977,1,0.995,0.93314,0,0,0,0,0.29133,9.13883,0.19247,0.5063,0.45474,0.000858664,0.000858664,0.000858664
39,862.46,0.18481,8.55937,0.25214,0.14914,0.91665,0.99904,1,0.995,0.97767,0,0,0,0,0.26761,9.21242,0.19394,0.30676,0.40447,0.000851333,0.000851333,0.000851333
